

                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



            Producto:        Todos                                           Tipo de documento:  Todos 
           Desde fecha:  01/01/2014          Hasta fecha:31/12/2014          Documento:          Todos 
            LíneaTanq
            Considerando todos los conceptos
          Producto:p1010                     Descripción:Llenado s80 aire

            Fecha        Docto.      Folio Movimiento          Cl/Pv     Cantidad      Precio unitario   Precio total 
        31/Ene/2014      2877         3124anc. factura         phoc            66.00             17.00       1,122.00 
        21/Ene/2014      2877         2984entas                phoc          -66.00              17.00       -1,122.00 
        21/Ene/2014      2878         2985entas                phan          -52.00              17.00       -884.00 
        22/Ene/2014      2879         2986entas                acuat         -22.00              22.00       -484.00 
        22/Ene/2014      2886         2993entas                raul            -2.00             20.00         -40.00 
        22/Ene/2014      2887         2994entas                stvbo           -4.00             22.00         -88.00 
        22/Ene/2014      2888         2995entas                arian           -2.00             22.00         -44.00 
        22/Ene/2014      2889         2996entas                pepe          -15.00              17.00       -255.00 

        22/Ene/2014      2890         2997entas                pdivi         -13.00              17.00       -221.00 
        22/Ene/2014      2891         2998entas                phoc          -51.00              17.00       -867.00 
        22/Ene/2014      2892         2999entas                phan          -20.00              17.00       -340.00 
        23/Ene/2014      2893         3000entas                acuat         -32.00              22.00       -704.00 
        23/Ene/2014      2896         3003entas                stvbo         -13.00              22.00       -286.00 
        23/Ene/2014      2897         3004entas                geral           -1.00             22.00         -22.00 
        23/Ene/2014      2898         3005entas                klaus           -4.00             20.00         -80.00 
        23/Ene/2014      2900         3007entas                arian           -2.00             22.00         -44.00 
        23/Ene/2014      2902         3009entas                pepe          -13.00              17.00       -221.00 
        23/Ene/2014      2903         3010entas                phoc          -57.00              17.00       -969.00 
        23/Ene/2014      2904         3011entas                phan          -35.00              17.00       -595.00 
        24/Ene/2014      2905         3012entas                acuat         -26.00              22.00       -572.00 
        24/Ene/2014      2910         3017entas                stvbo         -13.00              22.00       -286.00 

        24/Ene/2014      2912         3019entas                arian           -5.00             22.00       -110.00 
        24/Ene/2014      2913         3020entas                raul            -3.00             20.00         -60.00 
        24/Ene/2014      2915         3022entas                yucat         -10.00              22.00       -220.00 
        24/Ene/2014      2916         3023entas                klaus           -8.00             20.00       -160.00 
        24/Ene/2014      2917         3024entas              MOSTR             -3.00             25.00         -75.00 
        24/Ene/2014      2918         3025entas                pepe            -8.00             17.00       -136.00 
        24/Ene/2014      2920         3027entas                pdivi         -14.00              17.00       -238.00 
        24/Ene/2014      2921         3028entas                phoc          -50.00              17.00       -850.00 
        24/Ene/2014      2922         3029entas                phan          -34.00              17.00       -578.00 
        25/Ene/2014      2923         3030entas                acuat         -22.00              22.00       -484.00 
        25/Ene/2014      2926         3033entas                klaus           -6.00             20.00       -120.00 
        25/Ene/2014      2927         3034entas                arian           -5.00             22.00       -110.00 
        25/Ene/2014      2928         3035entas                stvbo         -18.00              22.00       -396.00 
        25/Ene/2014      2929         3036entas                phili           -8.00             25.00       -200.00 

        25/Ene/2014      2930         3037entas                pepe            -5.00             17.00         -85.00 
        25/Ene/2014      2931         3038entas                pdivi         -12.00              17.00       -204.00 
        25/Ene/2014      2932         3039entas                phoc          -35.00              17.00       -595.00 
        25/Ene/2014      2933         3040entas                phan          -52.00              17.00       -884.00 
        26/Ene/2014      2934         3041entas                trist           -8.00             22.00       -176.00 
        26/Ene/2014      2935         3042entas                stvbo           -4.00             22.00         -88.00 
        26/Ene/2014      2940         3047entas                eugen           -2.00             22.00         -44.00 
        26/Ene/2014      2941         3048entas              MOSTR             -4.00             25.00       -100.00 
        26/Ene/2014      2942         3049entas                arian           -5.00             22.00       -110.00 
        26/Ene/2014      2944         3051entas                pepe            -6.00             17.00       -102.00 
        26/Ene/2014      2945         3052entas                phoc          -54.00              17.00       -918.00 
